,TYPE,WDPAID,WDPA_PID,NAME,REP_M_AREA,STATUS_YR,PARENT_ISO3
95,Polygon,1590,1590,Pukeamaru,0.0,2012,NZL
96,Polygon,810,810,Te Urewera,0.0,2014,NZL
108,Polygon,1630,1630,Dilijan,0.0,2002,ARM
131,Polygon,4471,4471,Hajarikhil,0.0,2010,BGD
141,Polygon,7972,7972,Ramsagar,0.0,2001,BGD
143,Polygon,9281,9281,Teknaf,0.0,2009,BGD
177,Polygon,15980,15980,Parati-Mirim,0.0,2008,BRA
217,Polygon,14900,14900,Siwa,0.0,2002,EGY
247,Polygon,11588,11588,Dolní Morava,0.0,2003,CZE
285,Polygon,9637,9637,Yadua Taba,0.0,2004,FJI
434,Polygon,17115,17115,Nayband,280.0,2003,IRN
459,Polygon,17320,17320,West Hammar,0.0,2014,IRQ
460,Polygon,17322,17322,Tharthar Lake & Dhebaeji Field,0.0,2014,IRQ
462,Polygon,13677,13677,Discovery Bay Fish,1.683,2009,JAM
543,Polygon,3038,3038,Kiunga Marine Conservancy,0.0,2010,KEN
659,Polygon,9171,9171,Gola Forest National Park,0.0,2003,LBR
660,Polygon,9176,9176,East Nimba Nature Reserve,0.0,2003,LBR
661,Polygon,9170,9170,Grebo National Forest Park,0.0,2003,LBR
662,Polygon,7414,7414,Wonegizi Nature Reserve,0.0,2003,LBR
705,Polygon,2469,2469,Peak Wilderness NR,0.0,2009,LKA
730,Polygon,9158,9158,Black River,7.97,2000,MUS
734,Polygon,9153,9153,Port Louis,3.31,2000,MUS
736,Polygon,9154,9154,Poudre d'Or,25.42,2000,MUS
737,Polygon,9156,9156,Trou d'Eau Douce,5.74,2000,MUS
763,Polygon,17999,17999,Khaudum,0.0,2008,NAM
764,Polygon,8785,8785,Ai-Ais Hot Springs,0.0,2002,NAM
789,Polygon,9472,9472,Woko,0.0,2005,AUS
967,Polygon,11973,11973,Jabal Shada al-A‘la,0.0,2002,SAU
981,Polygon,9040,9040,Labrador Nature Reserve,0.0,2002,SGP
982,Polygon,9041,9041,Sungei Buloh Wetland Reserve,0.08,2002,SGP
989,Polygon,5180,5180,Kangari Hills,0.0,2012,SLE
1126,Polygon,15197,15197,Salines de Thyna,0.0,2007,TUN
1171,Polygon,8121,8121,Selat Dampier (Raja Ampat),462.4,2009,IDN
1230,Polygon,10357,10357,Hoang Lien,0.0,2002,VNM
1231,Polygon,10373,10373,Sen Tam Quy,0.0,2013,VNM
1232,Polygon,10362,10362,Muong Nhe,0.0,2005,VNM
1234,Polygon,10364,10364,Xuan Son,0.0,2002,VNM
1235,Polygon,10365,10365,Xuan Nha,0.0,2002,VNM
1236,Polygon,10375,10375,Vu Quang,0.0,2002,VNM
1237,Polygon,10346,10346,Ba Na - Nui Chua,0.0,2001,VNM
1240,Polygon,10378,10378,Kon Ka Kinh,0.0,2011,VNM
1241,Polygon,18033,18033,Yok Don,0.0,2001,VNM
1242,Polygon,10379,10379,Krong Trai,0.0,2014,VNM
1243,Polygon,10330,10330,Tan Trao,0.0,2014,VNM
1244,Polygon,10380,10380,Chu Yang Sin,0.0,2002,VNM
1245,Polygon,10395,10395,Lo Go-Xa Mat,0.0,2002,VNM
1247,Polygon,10398,10398,Phu Quoc,0.0,2001,VNM
1250,Polygon,10384,10384,Dakrong,0.0,2014,VNM
1251,Polygon,10360,10360,Trung Khanh,0.0,2006,VNM
1252,Polygon,10345,10345,Phong Nha-Ke Bang,0.0,2013,VNM
1253,Polygon,10377,10377,Kon Chu Rang,0.0,2004,VNM
1255,Polygon,10127,10127,Bac Son,0.0,2013,VNM
1256,Polygon,10329,10329,Pac Bo,0.0,2007,VNM
1258,Polygon,10342,10342,Con Son-Kiep Bac,0.0,2010,VNM
1259,Polygon,10343,10343,Huong Son,0.0,2013,VNM
1260,Polygon,10344,10344,Den Ba Trieu,0.0,2013,VNM
1261,Polygon,10347,10347,Nui Thanh,0.0,2014,VNM
1262,Polygon,10350,10350,Ho Lak,0.0,2013,VNM
1263,Polygon,10351,10351,Deo Ca Hon Nua,0.0,2013,VNM
1264,Polygon,10352,10352,Nui Ba Ra,0.0,2013,VNM
1265,Polygon,10353,10353,Nui Ba Den,0.0,2014,VNM
1266,Polygon,10376,10376,Cu Lao Cham,2.13,2014,VNM
1270,Polygon,10363,10363,Sop Cop,0.0,2002,VNM
1272,Polygon,10386,10386,Nui Ong,0.0,2012,VNM
1273,Polygon,10113,10113,Ba Vi,0.0,2003,VNM
1274,Polygon,10361,10361,Huu Lien,0.0,2006,VNM
1275,Polygon,10391,10391,Nam Nung,0.0,2014,VNM
1277,Polygon,10372,10372,Hang Kia-Pa Co,0.0,2000,VNM
1323,Polygon,9470,9470,Tarlo River,0.0,2015,AUS
1332,Polygon,6675,6675,Sierra de Bahoruco,0.0,2004,DOM
1333,Polygon,181,181,Los Haitises,0.0,2004,DOM
1334,Polygon,6674,6674,Submarino Monte Cristi,246.45,2004,DOM
1337,Polygon,6673,6673,Jaragua,829.18,2004,DOM
1338,Polygon,180,180,Cotubanamá (Del Este),381.78,2014,DOM
1356,Polygon,10596,10596,Washpool,0.0,2008,AUS
1530,Polygon,8774,8774,KKPN LAUT BANDA,0.0,2009,IDN
1579,Polygon,353,353,Wyrrabalong,0.0,2005,AUS
1602,Polygon,10623,10623,Georges River,0.0,2012,AUS
1612,Polygon,8613,8613,Kepulauan Karimun Jawa,1101.173,2001,IDN
1617,Polygon,8699,8699,Gunung Tambora Selatan,0.0,2009,IDN
1628,Polygon,1139,1139,Bournda,0.0,2008,AUS
1637,Polygon,16831,16831,Punta Lara,0.0,2001,ARG
1676,Polygon,18256,18256,Ngerumekaol Spawning Area,4.81693160128,2000,PLW
1686,Polygon,1850,1850_A,Sian Ka'an,0.0,2000,MEX
1687,Polygon,1850,1850_B,Sian Ka'an,1396.97118,2000,MEX
1692,Polygon,14301,14301,La Michilía,0.0,2000,MEX
1695,Polygon,213,213,Iztaccíhuatl-Popocatépetl,0.0,2011,MEX
1717,Polygon,5404,5404,El Veladero,0.0,2000,MEX
1721,Polygon,4213,4213,Yves Merlet,170.8853092,2009,FRA
1723,Polygon,5394,5394,Cumbres de Monterrey,0.0,2000,MEX
1728,Polygon,409,409,Hinchinbrook Island,0.0,2000,AUS
1729,Polygon,17269,17269,Wadi Al-Batin Natural Reserve,0.0,2011,KWT
1740,Polygon,17271,17271,Umm Niqa Natural Reserve,0.0,2011,KWT
1757,Polygon,1235,1235,Kyauk Pan Taung Wildlife Sanctuary,0.0,2013,MMR
1758,Polygon,8027,8027,Natmataung National Park,0.0,2010,MMR
1852,Polygon,6949,6949,Île Leprédour,0.0,2009,FRA
1853,Polygon,18273,18273,Île Bailly,2.968081147,2009,FRA
1886,Polygon,1127,1127,Tidbinbilla,0.0,2012,AUS
1887,Polygon,9482,9482,Tully Gorge,0.0,2014,AUS
1891,Polygon,356,356,Blue Mountains,0.0,2015,AUS
1892,Polygon,391,391,Bouddi,0.0,2006,AUS
1893,Polygon,375,375,Brisbane Water,0.0,2015,AUS
1894,Polygon,384,384,Hat Head,0.0,2006,AUS
1897,Polygon,2612,2612,Mimosa Rocks,0.0,2008,AUS
1900,Polygon,363,363,Myall Lakes,0.0,2009,AUS
1901,Polygon,362,362,New England,0.0,2012,AUS
1903,Polygon,9468,9468,Seven Mile Beach,0.0,2013,AUS
1904,Polygon,354,354,Sturt,0.0,2003,AUS
1905,Polygon,2395,2395,Yuraygir,0.0,2010,AUS
1906,Polygon,9465,9465,Bundjalung,0.0,2011,AUS
1907,Polygon,370,370,Werrikimbe,0.0,2003,AUS
1908,Polygon,387,387,Bald Rock,0.0,2002,AUS
1909,Polygon,372,372,Ben Boyd,0.0,2004,AUS
1911,Polygon,378,378,Crowdy Bay,0.0,2011,AUS
1912,Polygon,371,371,Dharug,0.0,2008,AUS
1913,Polygon,379,379,Dorrigo,0.0,2003,AUS
1914,Polygon,366,366,Gibraltar Range,0.0,2003,AUS
1915,Polygon,361,361,Guy Fawkes River,0.0,2010,AUS
1916,Polygon,9471,9471,Thirlmere Lakes,0.0,2009,AUS
1917,Polygon,365,365,Warrumbungle,0.0,2011,AUS
1918,Polygon,374,374,Weddin Mountains,0.0,2006,AUS
1919,Polygon,360,360,Mount Kaputar,0.0,2008,AUS
1920,Polygon,9469,9469,Sydney Harbour,0.0,2001,AUS
1922,Polygon,2613,2613,Budawang,0.0,2001,AUS
1923,Polygon,2608,2608,Mungo,0.0,2012,AUS
1924,Polygon,9464,9464,Border Ranges,0.0,2006,AUS
1925,Polygon,2605,2605,Marramarra,0.0,2003,AUS
1926,Polygon,2610,2610,Cathedral Rock,0.0,2013,AUS
1927,Polygon,2606,2606,Deua,0.0,2014,AUS
1928,Polygon,2607,2607,Wadbilliga,0.0,2004,AUS
1929,Polygon,9467,9467,Nymboida,0.0,2008,AUS
1930,Polygon,9463,9463,Boonoo Boonoo,0.0,2010,AUS
1931,Polygon,10594,10594,Nangar,0.0,2015,AUS
1934,Polygon,1153,1153,Barren Grounds,0.0,2009,AUS
1937,Polygon,1147,1147,Copperhannia,0.0,2004,AUS
1938,Polygon,1152,1152,Egan Peaks,0.0,2013,AUS
1944,Polygon,1160,1160,Mundoonen,0.0,2007,AUS
