TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,10507,10507,1,Victoria Forest,Victoria Forest,Conservation Park,Conservation Park,National,V,Not Applicable,0,0,0,2063.01257549222,2065.74706853829,Not Applicable,0,Designated,1981,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,"NZ-TAS;NZ-WTC;NZ-CAN",NZL,NZL,Not Applicable,Not Applicable
Polygon,813,813,1,Tongariro National Park,Tongariro National Park,National Park,National Park,National,II,Not Applicable,0,0,0,788.532991458374,789.267498880986,Not Applicable,0,Designated,1907,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,"NZ-WKO;NZ-MWT",NZL,NZL,Not Applicable,Not Applicable
Polygon,10490,10490,1,Tararua Forest,Tararua Forest,Conservation Park,Conservation Park,National,V,Not Applicable,0,0,0,1149.21190440141,1150.11714617546,Not Applicable,0,Designated,1996,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,"NZ-MWT;NZ-WGN",NZL,NZL,Not Applicable,Not Applicable
Polygon,808,808,1,Fiordland National Park,Fiordland National Park,National Park,National Park,National,II,Not Applicable,0,0,150.076923503175,12782.1374336738,12731.4689089253,Not Applicable,0,Designated,1978,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,"NZ-WTC;NZ-OTA;NZ-STL",NZL,NZL,Not Applicable,Not Applicable
Polygon,809,809,1,Mount Aspiring National Park,Mount Aspiring National Park,National Park,National Park,National,II,Not Applicable,0,0,2.21882342834604,3596.96491161008,3590.43200872857,Not Applicable,0,Designated,1964,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,"NZ-WTC;NZ-OTA;NZ-STL",NZL,NZL,Not Applicable,Not Applicable
Polygon,10487,10487,1,Kaweka Forest,Kaweka Forest,Conservation Park,Conservation Park,National,V,Not Applicable,0,0,0,615.280170603548,615.345901582863,Not Applicable,0,Designated,1974,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-HKB,NZL,NZL,Not Applicable,Not Applicable
Polygon,10489,10489,1,Aorangi Forest,Aorangi Forest,Conservation Park,Conservation Park,National,V,Not Applicable,0,0,6.35079483063901e-06,194.08476573707,194.224683628053,Not Applicable,0,Designated,1974,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-WGN,NZL,NZL,Not Applicable,Not Applicable
Polygon,10467,10467,1,Coromandel Forest,Coromandel Forest,Conservation Park,Conservation Park,National,V,Not Applicable,0,0,0.0427726280254622,722.858835679436,723.776402829004,Not Applicable,0,Designated,1928,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-WKO,NZL,NZL,Not Applicable,Not Applicable
Polygon,10488,10488,1,Ruahine Forest,Ruahine Forest,Conservation Park,Conservation Park,National,V,Not Applicable,0,0,0,948.254031312589,948.508291605422,Not Applicable,0,Designated,1976,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,"NZ-HKB;NZ-MWT",NZL,NZL,Not Applicable,Not Applicable
Polygon,10499,10499,1,Mount Richmond Forest,Mount Richmond Forest,Conservation Park,Conservation Park,National,V,Not Applicable,0,0,0.23291346509559,1655.93086327305,1658.59137329541,Not Applicable,0,Designated,1977,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,"NZ-MBH;NZ-NSN;NZ-TAS",NZL,NZL,Not Applicable,Not Applicable
Polygon,817,817,1,Abel Tasman National Park,Abel Tasman National Park,National Park,National Park,National,II,Not Applicable,0,0,2.54194561018037,235.031911077062,235.447460652495,Not Applicable,0,Designated,1942,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-TAS,NZL,NZL,Not Applicable,Not Applicable
Polygon,10516,10516,1,Lake Sumner Forest,Lake Sumner Forest,Conservation Park,Conservation Park,National,V,Not Applicable,0,0,0,1050.31873222887,1051.64707423348,Not Applicable,0,Designated,1974,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,"NZ-WTC;NZ-CAN",NZL,NZL,Not Applicable,Not Applicable
Polygon,10483,10483,1,Pukepoto,Pukepoto,Ecological Area,Ecological Area,National,III,Not Applicable,0,0,0,19.0130131160244,19.032608579611,Not Applicable,0,Designated,1987,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,"NZ-WKO;NZ-MWT",NZL,NZL,Not Applicable,Not Applicable
Polygon,10474,10474,1,Whakarewarewa State Forest,Whakarewarewa State Forest,Conservation Park,Conservation Park,National,V,Not Applicable,0,0,0,2.91867852742316,2.91960805439061,Not Applicable,0,Designated,1975,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-BOP,NZL,NZL,Not Applicable,Not Applicable
Polygon,10462,10462,1,Mokohinau Islands,Mokohinau Islands,Nature Reserve,Nature Reserve,National,Ia,Not Applicable,1,0,0.377019602120197,1.12975515410506,1.13200103558578,Not Reported,0,Designated,1969,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-AUK,NZL,NZL,Not Applicable,Not Applicable
Polygon,10480,10480,1,Pokaka,Pokaka,Scenic Reserve,Scenic Reserve,National,III,Not Applicable,0,0,0,0.876259715603891,0.877252241935024,Not Applicable,0,Designated,1987,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-MWT,NZL,NZL,Not Applicable,Not Applicable
Polygon,10495,10495,1,Chance Penguin & Fairy Bays,Chance Penguin & Fairy Bays,Scenic Reserve,Scenic Reserve,National,III,Not Applicable,0,0,0.0297470879764262,16.4187470263707,16.4451626949382,Not Applicable,0,Designated,1903,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-MBH,NZL,NZL,Not Applicable,Not Applicable
